id,ano,nome,UF,partido,categoria,igreja,corp_pentecostal,evangelico,primeira,sexo,capilaridade,filiados,posicao,decil_filiados,decil_deputados,num_votos,perc_votos,perc_agp,perc_agr,perc_com,perc_fin,perc_ind,perc_inf,perc_ser,perc_pf,perc_rp,receita_agp,receita_agr,receita_com,receita_fin,receita_ind,receita_inf,receita_pf,receita_rp,receita_ser,total_receita
578823,2018,JOÃO FRANCISCO INÁCIO BRAZÃO,RJ,AVANTE,DIREITA,,0,0,0,0,0.616,187127,0.35,0.40,0.40,25817,0.94,0.89,0.00,0.81,0.00,0.00,0.00,0.00,0.38,0.00,351646.00,0.00,107000.00,0.00,0.00,0.00,2500.00,0.00,0.00,461146.00
586890,2018,LUIS HENRIQUE DE OLIVEIRA RESENDE,MG,AVANTE,DIREITA,,0,0,0,0,0.508,187127,0.35,0.40,0.40,50474,0.93,0.98,0.00,0.00,0.00,0.00,0.00,0.25,0.42,0.00,2271431.96,0.00,0.00,0.00,0.00,0.00,5699.00,0.00,3566.00,2280696.96
586839,2018,ANDRE LUIS GASPAR JANONES,MG,AVANTE,DIREITA,Batista,0,1,0,0,0.859,187127,0.35,0.40,0.40,178660,1.00,0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,205342.10,0.00,0.00,0.00,0.00,0.00,4641.52,0.00,0.00,209983.62
586662,2018,GREYCE DE QUEIROZ ELIAS,MG,AVANTE,DIREITA,Sara Nossa Terra,1,1,0,1,0.529,187127,0.35,0.40,0.40,37620,0.91,0.88,0.00,0.21,0.00,0.52,0.18,0.83,0.39,0.00,754946.83,0.00,2500.00,0.00,15000.00,2800.00,4800.00,0.00,324000.00,1104046.83
584268,2018,CARLOS TITO MARQUES CORDEIRO,BA,AVANTE,DIREITA,AD,1,1,0,0,0.227,187127,0.35,0.40,0.40,48899,0.90,0.66,0.19,0.00,0.00,0.00,0.00,0.00,0.58,0.57,271000.00,3000.00,0.00,0.00,0.00,0.00,8180.00,5000.00,0.00,287180.00
584280,2018,MANOEL ISIDÓRIO DE SANTANA JÚNIOR,BA,AVANTE,DIREITA,AD,1,1,0,0,0.794,187127,0.35,0.40,0.40,323264,1.00,0.72,0.00,0.14,0.00,0.28,0.20,0.44,0.77,0.83,532000.00,0.00,1820.00,0.00,1100.00,2330.15,60870.00,100829.83,9120.00,708069.98
583912,2018,LEDA MARIA SADALA BRITO,AP,AVANTE,DIREITA,,0,0,0,1,0.760,187127,0.35,0.40,0.40,11301,0.92,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.00,211408.45,0.00,0.00,0.00,0.00,0.00,14000.00,0.00,0.00,225408.45
580223,2018,LUIZ ANTONIO DA COSTA CARVALHO CORREA DA SILVA,RJ,DC,DIREITA,,0,0,0,0,0.801,187079,0.35,0.40,0.10,50284,0.98,0.80,0.00,0.39,0.00,0.00,0.00,0.00,0.67,0.93,63540.95,0.00,5800.00,0.00,0.00,0.00,12200.00,157615.27,0.00,239156.22
582298,2018,KIM PATROCA KATAGUIRI,SP,DEM,DIREITA,Anglicana,0,1,1,0,0.839,1093466,0.76,0.90,0.70,465310,1.00,0.39,0.02,0.61,0.45,0.00,0.47,0.78,0.90,0.00,14190.00,900.00,30500.00,14000.00,0.00,19000.00,91407.00,0.00,135498.99,305495.99
582300,2018,EUGENIO JOSÉ ZULIANI,SP,DEM,DIREITA,,0,0,0,0,0.605,1093466,0.76,0.90,0.70,89378,0.97,0.86,0.61,0.03,0.63,0.06,0.79,0.56,0.79,0.00,664411.00,102800.00,500.00,45000.00,1064.00,423260.41,27444.00,0.00,22000.00,1286479.41
578954,2018,ONYX DORNELLES LORENZONI,RS,DEM,DIREITA,Luterana,0,1,0,0,0.914,1093466,0.76,0.90,0.70,183518,1.00,0.91,0.75,0.87,0.00,0.00,0.00,0.88,0.25,0.00,1004600.00,250000.00,302530.00,0.00,0.00,0.00,1500.00,0.00,105000.00,1663630.00
582301,2018,DAVID BEZERRA RIBEIRO SOARES,SP,DEM,DIREITA,IIGD,1,1,0,0,0.797,1093466,0.76,0.90,0.70,99865,0.98,0.83,0.00,0.64,0.00,0.09,0.00,0.43,0.90,0.00,430000.00,0.00,40421.08,0.00,1500.00,0.00,88120.00,0.00,10520.00,570561.08
