k,dist,meth,sil
2,maximum,single,0.4613785740241893
2,maximum,median,0.4613785740241893
2,maximum,centroid,0.4613785740241893
10,minkowski_0.5,ward.D,0.4242709878947571
10,minkowski_0.5,ward.D2,0.4242709878947571
2,minkowski_0.5,single,0.4178243549771534
9,minkowski_0.5,ward.D,0.4159412783802536
9,minkowski_0.5,ward.D2,0.4159412783802536
2,euclidian,centroid,0.4106736821144761
8,minkowski_0.5,ward.D,0.39580461516133825
8,minkowski_0.5,ward.D2,0.39580461516133825
10,minkowski_0.5,complete,0.39132800589439837
2,manhattan,single,0.3903773099868353
2,manhattan,centroid,0.3903773099868353
2,maximum,ward.D2,0.3890841797744432
2,maximum,ward.D,0.3880366938761948
2,euclidian,average,0.38381278609311764
2,minkowski_1.5,average,0.3826035943278882
2,maximum,complete,0.38069178031878875
3,maximum,centroid,0.380460522992852
2,maximum,average,0.37814752091140574
2,manhattan,average,0.3780582110624975
9,minkowski_0.5,complete,0.3776096487431296
7,minkowski_0.5,ward.D,0.3754766495109142
7,minkowski_0.5,ward.D2,0.3754766495109142
8,minkowski_0.5,complete,0.3706389875435375
9,minkowski_0.5,average,0.36880094818959325
5,minkowski_0.5,average,0.36827818977109694
3,euclidian,centroid,0.3665507534685101
10,minkowski_0.5,average,0.36609392217919273
3,euclidian,average,0.36587986261251715
4,maximum,median,0.36486367108226025
2,minkowski_1.5,median,0.3647851620844998
2,minkowski_1.5,centroid,0.3647851620844998
2,minkowski_1.5,single,0.3635982703271059
3,minkowski_1.5,single,0.36348358185492086
3,maximum,median,0.36342260592423725
6,maximum,average,0.3589661863574225
7,maximum,average,0.35846192867022614
7,minkowski_0.5,complete,0.35493112202933863
3,minkowski_1.5,average,0.3512079656882166
3,manhattan,single,0.35002697675152333
6,minkowski_0.5,ward.D,0.3500125530237294
6,minkowski_0.5,ward.D2,0.3500125530237294
4,maximum,complete,0.34909300350893696
4,minkowski_0.5,average,0.3483058244549155
2,minkowski_0.5,complete,0.34739601220485955
2,minkowski_0.5,average,0.34739601220485955
8,minkowski_0.5,average,0.34716198678462695
3,maximum,complete,0.3460750920039274
3,minkowski_1.5,centroid,0.34548463433491367
2,euclidian,single,0.3447486604186825
5,minkowski_1.5,average,0.3431556204419426
8,maximum,average,0.3411269069140821
3,euclidian,single,0.34025567457670286
2,manhattan,median,0.33993701074581745
2,minkowski_0.5,centroid,0.33764202076085764
3,minkowski_0.5,ward.D,0.3355012250809988
3,minkowski_0.5,ward.D2,0.3355012250809988
2,canberra,average,0.3351889155282673
2,minkowski_0.5,ward.D,0.3344473387728885
2,minkowski_0.5,ward.D2,0.3344473387728885
2,euclidian,ward.D,0.3334649705234297
2,euclidian,ward.D2,0.3334649705234297
2,manhattan,ward.D2,0.3324065449792275
2,euclidian,complete,0.33076028739598395
4,euclidian,centroid,0.33034314486905497
5,minkowski_0.5,ward.D2,0.32772797119620023
2,manhattan,ward.D,0.32616461547529996
3,manhattan,ward.D2,0.325198872534081
10,maximum,centroid,0.3236427568693057
6,minkowski_0.5,complete,0.3230377864152076
2,manhattan,complete,0.3227522774997607
6,euclidian,average,0.32254820094844966
6,minkowski_0.5,average,0.32171005855322915
7,minkowski_0.5,average,0.32155079894126803
3,manhattan,average,0.32134838289156664
4,maximum,centroid,0.3212753888355047
7,maximum,complete,0.31837290486671327
9,maximum,ward.D2,0.31817456619597195
7,euclidian,average,0.31798126122233766
6,maximum,complete,0.31785646239487836
4,euclidian,complete,0.31771976216126346
5,maximum,ward.D2,0.31725506376450424
3,manhattan,complete,0.3169341749429404
5,maximum,median,0.31608009831410255
3,minkowski_0.5,average,0.31413611060967356
5,minkowski_0.5,ward.D,0.3137407383782358
10,maximum,ward.D2,0.3123188667264081
3,euclidian,complete,0.3118482038842388
3,maximum,average,0.31181281546680034
4,maximum,average,0.311113728389333
2,minkowski_1.5,ward.D,0.3055839029586549
2,minkowski_1.5,ward.D2,0.3055839029586549
7,maximum,ward.D2,0.30497051736984704
7,euclidian,complete,0.30297697851013106
8,maximum,ward.D2,0.30292026337860345
8,euclidian,average,0.3027516077217657
9,maximum,average,0.3026494484581668
8,maximum,ward.D,0.301964047041243
3,minkowski_0.5,complete,0.3018488837303129
4,maximum,ward.D,0.30120985352891944
10,maximum,ward.D,0.3005133134944618
2,minkowski_1.5,complete,0.29763001090409685
4,minkowski_0.5,ward.D2,0.2973961660680917
9,minkowski_1.5,ward.D,0.2962867210033123
9,minkowski_1.5,complete,0.29543706594693386
3,minkowski_1.5,complete,0.2953878505429713
10,euclidian,ward.D2,0.29529595496188427
8,minkowski_1.5,complete,0.2951896038740819
7,minkowski_1.5,complete,0.29509374994966664
6,euclidian,complete,0.294924082418254
9,manhattan,average,0.29400695346958844
8,minkowski_1.5,average,0.2939502536879649
9,euclidian,ward.D,0.29323403631120487
10,maximum,average,0.2910797217350228
10,euclidian,complete,0.28999601716087764
9,euclidian,average,0.28979885129752264
6,maximum,ward.D,0.2896120541992545
6,manhattan,average,0.28955690082938723
6,maximum,ward.D2,0.28928164276762375
3,minkowski_0.5,centroid,0.2890751288864302
4,maximum,ward.D2,0.2883342768960937
8,manhattan,ward.D,0.2882780315732585
8,manhattan,average,0.2879672346216609
9,euclidian,ward.D2,0.2877744998536623
10,manhattan,average,0.28770712140471266
9,minkowski_1.5,average,0.2874294959777657
8,minkowski_1.5,ward.D,0.28723289234090577
5,minkowski_1.5,ward.D2,0.2867844234033887
9,euclidian,complete,0.2866791475705057
7,manhattan,average,0.2864253830714137
5,minkowski_0.5,complete,0.28579436942773956
10,euclidian,average,0.28563554985638834
8,euclidian,ward.D,0.285273884337908
10,minkowski_1.5,average,0.28492287397238425
10,minkowski_1.5,ward.D2,0.2843737997926387
3,manhattan,centroid,0.28408127601994554
9,maximum,ward.D,0.28403975208293875
7,maximum,ward.D,0.28387362825026263
8,euclidian,complete,0.2816928458311722
4,minkowski_1.5,centroid,0.28112101702864606
5,manhattan,average,0.27895675638724504
5,euclidian,centroid,0.27853138761272095
5,manhattan,centroid,0.2777400522825982
5,maximum,complete,0.27714249668130686
2,canberra,single,0.2769474383074405
2,canberra,centroid,0.2769474383074405
9,manhattan,ward.D,0.2769104025817189
3,maximum,ward.D2,0.27652722684204406
6,manhattan,centroid,0.27587844841440673
9,minkowski_1.5,ward.D2,0.27578189421669297
3,minkowski_1.5,median,0.2757235300063057
5,minkowski_1.5,centroid,0.2756603322494806
8,minkowski_1.5,ward.D2,0.27548144064101765
8,euclidian,ward.D2,0.2745586061005279
10,minkowski_1.5,ward.D,0.2738708673536495
7,minkowski_1.5,ward.D,0.27350872031627316
4,minkowski_0.5,ward.D,0.2734088823307193
5,euclidian,ward.D2,0.27274879629520093
3,canberra,average,0.27217920607115564
10,minkowski_1.5,complete,0.271499109091959
4,minkowski_0.5,complete,0.2710544184632768
7,euclidian,ward.D,0.27022868282763274
5,euclidian,single,0.2696582546443463
4,euclidian,average,0.2695982905250459
5,manhattan,ward.D2,0.2694602544155916
4,euclidian,single,0.26913672727281857
5,euclidian,complete,0.26887679834222644
4,minkowski_0.5,centroid,0.2681139616052351
7,minkowski_1.5,ward.D2,0.267808946700588
7,minkowski_1.5,centroid,0.26757307557606763
10,manhattan,ward.D2,0.26749451633616295
10,euclidian,ward.D,0.26740494976513174
4,minkowski_1.5,ward.D2,0.2666589992251411
7,euclidian,ward.D2,0.2661348902119518
8,manhattan,ward.D2,0.26551109122756394
4,minkowski_1.5,single,0.26497499059451374
6,minkowski_1.5,centroid,0.2633019884753774
6,euclidian,ward.D,0.26330045550410736
7,manhattan,complete,0.2631588622413485
7,manhattan,ward.D,0.2624665060943847
6,euclidian,centroid,0.2617266855162724
5,maximum,ward.D,0.26137952689105204
2,euclidian,median,0.2604746452920218
9,manhattan,ward.D2,0.25966747454698513
4,minkowski_1.5,average,0.25955143658141355
4,manhattan,centroid,0.2594282915727709
6,manhattan,complete,0.2546292440707566
8,maximum,complete,0.25395984274916
7,manhattan,ward.D2,0.253058121055055
6,minkowski_1.5,ward.D,0.2528516748960438
4,canberra,average,0.25284252377512806
4,euclidian,ward.D2,0.25279807622406736
6,euclidian,ward.D2,0.2527061940823307
5,euclidian,average,0.25229566314593116
10,manhattan,ward.D,0.2519312934665381
6,minkowski_1.5,average,0.25139318180402814
3,maximum,ward.D,0.2513209360528962
6,minkowski_1.5,ward.D2,0.2508850686336477
7,manhattan,centroid,0.2507849963189975
5,maximum,average,0.2498509948066564
4,manhattan,ward.D2,0.24965186338520184
10,manhattan,complete,0.2495770275861117
9,manhattan,complete,0.24846458470306848
4,manhattan,average,0.24838300391336576
4,euclidian,ward.D,0.24825653878557494
6,minkowski_1.5,single,0.24720174153302998
7,euclidian,centroid,0.2467110639006938
5,minkowski_1.5,single,0.24538776946022922
7,minkowski_1.5,average,0.24515371574759656
3,euclidian,ward.D2,0.24397556477313526
